Time_s,Pos_err_norm_m,Ori_err_norm_rad,Jerk_norm_m_s3
3.339197635650634766e-01,6.084686543404677073e-01,6.304862343402279912e-01,0.000000000000000000e+00
3.408293724060058594e-01,6.082353838399776613e-01,6.229550773346798076e-01,0.000000000000000000e+00
3.502283096313476562e-01,6.073880228881550769e-01,6.035081067727631199e-01,1.399520669941870665e+03
3.594901561737060547e-01,6.060223756413554153e-01,5.762612454498886594e-01,7.571738063045953027e+01
3.646912574768066406e-01,6.042884280711527945e-01,5.476893791989573268e-01,3.094001502225339209e+03
3.683171272277832031e-01,6.021033565804014831e-01,5.168326474453429631e-01,4.945270939041897691e+03
3.706843852996826172e-01,5.994619298340181368e-01,4.854470617101001584e-01,1.267707231434747519e+04
3.729858398437500000e-01,5.963249679932930425e-01,4.545779677790846574e-01,3.921145407802994669e+03
3.757753372192382812e-01,5.926794333001078607e-01,4.266844670982143373e-01,8.998413781897506851e+03
3.779335021972656250e-01,5.885860919223196985e-01,4.069406380473391538e-01,1.137876625127897933e+04
3.804211616516113281e-01,5.840271555001804726e-01,3.983186117555483352e-01,9.255838179544927698e+03
3.837466239929199219e-01,5.790100608777686286e-01,4.040277306851848271e-01,9.855261039329085179e+03
3.873393535614013672e-01,5.736003131769571439e-01,4.267868416269501308e-01,3.746335457771457641e+03
3.903114795684814453e-01,5.678952669935737330e-01,4.669281084961875439e-01,6.323274834917722728e+03
3.934693336486816406e-01,5.619316950594511750e-01,5.219022903475003528e-01,1.084545024535117955e+04
4.003493785858154297e-01,5.556944885197410144e-01,5.868901589987939316e-01,9.237119878188197617e+03
4.044275283813476562e-01,5.496747415483023147e-01,6.596313137186794462e-01,4.950118945799260473e+03
4.074506759643554688e-01,5.439276626708555717e-01,7.353707852837184644e-01,1.081407206831965777e+04
4.120733737945556641e-01,5.384039855628142135e-01,8.107608868604235797e-01,6.636560200259964404e+03
4.153854846954345703e-01,5.333001682358899931e-01,8.834125427207736303e-01,1.008245936618300220e+04
4.177904129028320312e-01,5.285835985962143990e-01,9.513529505462954283e-01,1.210905575591868183e+04
4.205658435821533203e-01,5.241169028830142684e-01,1.014329078005028917e+00,1.029642732322798474e+04
4.248828887939453125e-01,5.198381111776891883e-01,1.071673887125009328e+00,1.134834013196547858e+04
4.297275543212890625e-01,5.157979665451799534e-01,1.122690925739744383e+00,2.354142114518931976e+03
4.323627948760986328e-01,5.121385743049483574e-01,1.166639131812940100e+00,1.277703470685145658e+04
4.350528717041015625e-01,5.087071566942269474e-01,1.203482153301404622e+00,4.490057285651035272e+03
4.396753311157226562e-01,5.053431509802316368e-01,1.233623141231932729e+00,1.240913291425037642e+04
4.428012371063232422e-01,5.021895957118576170e-01,1.257112381771356979e+00,6.005329763502797505e+03
4.456026554107666016e-01,4.991363231459745031e-01,1.274472493751862334e+00,2.981331276011501814e+03
4.481375217437744141e-01,4.961525542728207894e-01,1.286069160553350965e+00,3.127401146211418109e+03
4.508745670318603516e-01,4.931976076244506402e-01,1.292259477036263648e+00,3.175242184450266905e+03
4.541282653808593750e-01,4.902537994871232763e-01,1.293328114322751299e+00,4.416509196171729855e+03
4.588603973388671875e-01,4.872794965146051149e-01,1.289608473831829194e+00,5.242499254150063280e+03
4.622294902801513672e-01,4.844663644483459541e-01,1.280821033222492522e+00,5.115681626839681485e+03
4.649755954742431641e-01,4.818110705223397350e-01,1.267059752233047343e+00,6.079348344886305313e+03
4.676146507263183594e-01,4.793357348498770154e-01,1.248372696285980243e+00,4.471749269274100698e+03
4.723963737487792969e-01,4.769782347765065822e-01,1.225703524476206230e+00,1.279519118350493591e+04
4.756088256835937500e-01,4.750050668290695666e-01,1.199125360472208301e+00,2.438944472210461299e+03
4.812512397766113281e-01,4.731781381456457436e-01,1.171118934481711893e+00,6.231331725982312491e+03
4.847288131713867188e-01,4.717128379234325486e-01,1.141613353793950569e+00,3.002765879422537637e+03
4.919817447662353516e-01,4.702216201893097414e-01,1.113866287469135630e+00,2.594606395607463128e+03
4.960014820098876953e-01,4.690235265926882002e-01,1.086117953287370375e+00,3.576744719850018100e+03
5.003290176391601562e-01,4.678488592723915596e-01,1.060391419622471298e+00,1.894627330022703063e+03
5.041322708129882812e-01,4.666746888436149598e-01,1.036774047882679239e+00,3.205533515586625981e+03
5.108292102813720703e-01,4.652498094706263299e-01,1.017334317554146716e+00,3.526521367358538555e+03
5.150306224822998047e-01,4.638342202413329174e-01,9.993897745181050674e-01,3.889874189587829733e+03
5.181856155395507812e-01,4.623250498477179393e-01,9.835846346650317651e-01,5.236203725445167947e+03
5.253286361694335938e-01,4.604192936609594611e-01,9.726144330827892759e-01,7.672768168497332226e+03
5.304713249206542969e-01,4.584682840574993423e-01,9.630297334144420907e-01,2.015930276371857644e+03
5.339496135711669922e-01,4.564794526652173889e-01,9.547869155734427515e-01,4.682384330837581729e+03
5.427100658416748047e-01,4.540495650324997134e-01,9.513464538469195153e-01,6.450901762162300656e+03
5.467302799224853516e-01,4.518424032171610705e-01,9.470465829295842131e-01,3.891323509876420303e+03
5.515654087066650391e-01,4.495162726568097122e-01,9.449199457236300281e-01,3.159058231941528902e+03
5.579473972320556641e-01,4.470189577756919497e-01,9.452746451088708257e-01,2.278069012360540910e+03
5.609657764434814453e-01,4.446979201603794563e-01,9.459844641747027216e-01,5.069218758065920156e+03
5.638816356658935547e-01,4.423291434839615732e-01,9.486261965998105117e-01,3.974503304965657208e+03
5.663273334503173828e-01,4.399351719936766547e-01,9.530196906516940070e-01,5.438074286774832217e+03
5.690119266510009766e-01,4.374565316673149074e-01,9.591942666929146322e-01,4.807125870019147442e+03
5.745360851287841797e-01,4.346793919947224971e-01,9.671849738652220640e-01,6.199464206842417298e+03
5.778450965881347656e-01,4.319784538875372504e-01,9.758830114213672413e-01,5.099021782814733342e+03
5.800461769104003906e-01,4.292553994271514073e-01,9.854530313766507454e-01,1.189142584992413322e+04
5.829279422760009766e-01,4.263463207823486867e-01,9.958024703013907963e-01,5.854803102851265976e+03
5.850715637207031250e-01,4.233457588344393674e-01,1.006757003179158394e+00,1.282574746562121254e+04
5.901560783386230469e-01,4.199243062990085651e-01,1.017811109695907712e+00,1.490890995706277317e+04
5.939908027648925781e-01,4.164134474117736073e-01,1.029221612941270791e+00,4.183855531754701587e+03
5.973882675170898438e-01,4.127327951344095247e-01,1.040945206605724094e+00,3.332689934723543502e+03
6.003119945526123047e-01,4.088776284749778278e-01,1.053048065818558587e+00,4.850789217552662194e+03
6.032931804656982422e-01,4.047985762454837100e-01,1.065501581289642674e+00,1.113693369030673466e+03
6.061692237854003906e-01,4.005124607786197388e-01,1.078427007838028695e+00,1.622958813782003972e+03
6.095626354217529297e-01,3.959731690548957683e-01,1.091773568019542173e+00,4.758378885587993864e+03
6.151306629180908203e-01,3.910478077273932818e-01,1.105236871410828048e+00,7.029305381357324222e+03
6.181261539459228516e-01,3.861792529569085253e-01,1.120137864988270948e+00,8.906339181142071538e+03
6.219139099121093750e-01,3.810951766435198285e-01,1.135773636396785635e+00,5.899311164917899077e+03
6.256489753723144531e-01,3.759012380936899156e-01,1.152492684728207983e+00,5.758198829898069562e+02
6.304955482482910156e-01,3.705302226411464894e-01,1.170167956213650440e+00,3.890437170129624974e+03
6.335093975067138672e-01,3.652799989584514795e-01,1.189612067839855403e+00,6.409667098767759853e+03
6.364991664886474609e-01,3.600332211740915334e-01,1.210549068573165243e+00,1.752041618699952551e+03
6.405191421508789062e-01,3.547443196447345737e-01,1.232874205426282010e+00,8.710008595600414992e+03
6.458539962768554688e-01,3.494297420517896158e-01,1.256248887249379109e+00,4.258549242775826315e+03
6.493186950683593750e-01,3.443853715242229940e-01,1.280650585409071507e+00,2.791275834129793111e+03
6.529643535614013672e-01,3.394697913199994366e-01,1.305439569682499856e+00,1.974296271712548332e+03
6.592006683349609375e-01,3.345243224790517278e-01,1.330206419251890981e+00,3.437348312618824821e+03
6.621198654174804688e-01,3.300487249594278860e-01,1.355293296643152123e+00,4.067211048621597911e+03
6.649787425994873047e-01,3.258115673544361157e-01,1.380144107103606022e+00,2.069992050059814574e+03
6.706302165985107422e-01,3.216314399885476516e-01,1.404665709981882227e+00,4.442381435427940232e+03
6.735706329345703125e-01,3.179372675417926897e-01,1.428716423446952044e+00,3.465831475784413669e+03
6.795136928558349609e-01,3.143429924654906338e-01,1.452487759172958581e+00,3.690863816361746103e+03
6.863832473754882812e-01,3.110175245117320908e-01,1.476016241366896464e+00,5.483709136651129938e+02
6.942787170410156250e-01,3.079694722269794571e-01,1.499421113807120065e+00,3.818300575624645035e+02
7.011992931365966797e-01,3.053421188115524321e-01,1.522186284510036236e+00,4.893293971549039156e+02
7.148723602294921875e-01,3.026127108413322331e-01,1.547022774325089278e+00,6.677576569522362888e+02
7.209205627441406250e-01,3.007557806561154123e-01,1.568505744425209736e+00,1.258638539599333853e+03
7.293939590454101562e-01,2.990761030977200363e-01,1.590302496988819758e+00,7.483133342362791609e+02
7.349674701690673828e-01,2.979193232978975536e-01,1.609767443699904765e+00,1.287269946505553207e+03
7.378792762756347656e-01,2.972396484340142364e-01,1.626786551099645095e+00,5.271980836938021639e+03
7.458240985870361328e-01,2.965058609576445847e-01,1.645318636122327316e+00,5.460043309555250744e+03
7.525358200073242188e-01,2.961028248082308578e-01,1.662080611406094866e+00,4.621147199776098660e+02
7.569031715393066406e-01,2.960755207734575012e-01,1.676373878783607996e+00,1.894549757659935040e+03
7.629048824310302734e-01,2.961402168148092318e-01,1.690248970659070871e+00,1.749701323657023295e+03
7.667357921600341797e-01,2.965114823455327064e-01,1.701708966046217242e+00,2.297859223221852062e+03
7.708411216735839844e-01,2.970075735798279326e-01,1.711979407557553179e+00,1.005298525572395647e+03
7.747995853424072266e-01,2.976294793691519613e-01,1.720810776371877404e+00,4.745637118475293619e+02
7.843275070190429688e-01,2.980073509331411796e-01,1.730455453543986888e+00,2.568089874127631447e+03
7.873253822326660156e-01,2.988570092009064094e-01,1.735822683424538493e+00,4.050839559254752658e+03
7.941524982452392578e-01,2.995263050333938359e-01,1.741016756251651865e+00,4.371260657994323083e+03
8.003067970275878906e-01,3.002712827100167403e-01,1.744214905887946365e+00,3.088055019597720730e+02
8.058800697326660156e-01,3.010718749768715452e-01,1.745449758339125967e+00,3.719539295635888152e+02
8.133714199066162109e-01,3.017581730529032558e-01,1.745385456146213210e+00,7.841187353270942140e+02
8.173377513885498047e-01,3.026626133536109986e-01,1.742570444413211073e+00,2.149047995030763104e+03
8.198740482330322266e-01,3.036443722373786680e-01,1.737767762723848586e+00,4.408670789490561219e+03
8.227269649505615234e-01,3.045872658342063666e-01,1.731398714556509066e+00,2.588567530980451465e+03
8.294615745544433594e-01,3.052713064477483584e-01,1.723793711515834826e+00,4.248945973152335682e+03
8.374412059783935547e-01,3.058538882660221114e-01,1.714424792601542125e+00,3.390662027388128195e+02
8.450076580047607422e-01,3.064413591136301296e-01,1.703134799417844514e+00,1.268442495780567327e+02
8.492474555969238281e-01,3.072328779247562314e-01,1.689863536762095997e+00,1.680275288718711408e+03
8.518164157867431641e-01,3.081296479808566802e-01,1.674986933613548556e+00,4.349825618028135068e+03
8.546857833862304688e-01,3.090137092434740440e-01,1.658693579137558771e+00,2.330462539429997378e+03
8.595242500305175781e-01,3.097944831370441077e-01,1.640934962923310092e+00,3.582699395549254405e+03
8.634452819824218750e-01,3.106664520882383429e-01,1.621897303723838446e+00,1.219731044140982021e+03
8.655056953430175781e-01,3.116997319910650988e-01,1.601887417859721552e+00,7.759967232909482846e+03
8.675680160522460938e-01,3.127934512684283352e-01,1.580935731409692346e+00,3.063042280298602691e+03
8.696277141571044922e-01,3.139639281112055480e-01,1.559188058649746855e+00,2.901325281241415269e+03
8.716900348663330078e-01,3.152273424109141020e-01,1.536805595341075525e+00,2.679477291026012608e+03
8.751351833343505859e-01,3.165281553353131994e-01,1.513645155662059594e+00,7.410377287001553668e+03
8.822898864746093750e-01,3.177685505331285798e-01,1.489287560719007919e+00,3.547595236553043378e+03
8.866031169891357422e-01,3.192741105251843958e-01,1.465463760086461509e+00,1.273058684881734280e+03
8.933963775634765625e-01,3.207640440595814768e-01,1.441172682650628589e+00,1.423293243980956504e+03
8.976728916168212891e-01,3.225048658876686347e-01,1.417848854150040028e+00,1.195333051025994109e+03
9.057254791259765625e-01,3.241972170372732220e-01,1.394289454026399699e+00,1.561876455196279267e+03
9.137144088745117188e-01,3.260445093138811257e-01,1.371734107022674953e+00,1.130691007143403937e+02
9.176537990570068359e-01,3.282431586240547317e-01,1.351349185629017180e+00,1.296930188595286609e+03
9.208281040191650391e-01,3.306326818946583868e-01,1.332793434333204408e+00,9.623018324687193399e+02
9.239635467529296875e-01,3.331817302716436613e-01,1.316285854856630078e+00,5.515995037717271998e+02
9.307036399841308594e-01,3.357520728386950704e-01,1.301398903258780715e+00,2.182440380107717829e+03
9.354138374328613281e-01,3.385731916611338654e-01,1.289788407578638108e+00,1.723555597737715743e+03
9.409878253936767578e-01,3.415228297069664576e-01,1.281508882529952098e+00,2.880744182527515022e+03
9.468767642974853516e-01,3.445962644584649737e-01,1.277395888121921175e+00,7.276586687653378931e+02
9.503648281097412109e-01,3.478532973983546328e-01,1.277939101949130407e+00,4.008349930540632158e+03
9.528203010559082031e-01,3.512240695472800822e-01,1.282492446017007959e+00,5.909425855917815170e+03
9.554772377014160156e-01,3.546624232004039201e-01,1.290415211148341346e+00,3.340494205055079874e+03
9.579846858978271484e-01,3.581745722362151829e-01,1.301358258498523712e+00,7.950784085728325863e+02
9.600472450256347656e-01,3.617652064289280656e-01,1.314953329182109609e+00,3.707533351732778556e+03
9.621081352233886719e-01,3.654290881911987365e-01,1.330681909704412025e+00,2.840629518986813309e+03
9.650089740753173828e-01,3.691657377912896387e-01,1.347971414280553892e+00,8.827848699140045937e+03
9.686529636383056641e-01,3.729942892325470716e-01,1.366426855982994182e+00,3.537850019849712226e+03
9.714829921722412109e-01,3.769403537183336206e-01,1.385837389891283467e+00,1.374577961824115391e+03
9.735434055328369141e-01,3.810084398256171623e-01,1.405735397184247448e+00,2.741354881476866467e+03
9.768018722534179688e-01,3.852068252391804282e-01,1.425491200726734853e+00,6.931973276040322162e+03
9.879083633422851562e-01,3.895795310242326503e-01,1.444422236408651194e+00,2.158854051877798156e+03
9.938392639160156250e-01,3.941166955919225834e-01,1.463054333918911709e+00,2.760607899533692375e+02
1.000366926193237305e+00,3.988306354373178930e-01,1.480707339033794145e+00,4.247687060640158165e+02
