timestamp,real_q1,real_q2,real_q3,real_q4,real_q5,real_q6,gripper_cmd
1777277225.0338173,1.2783901691436768,-1.729725023309225,-0.7666805386543274,-1.6917525730528773,1.581761121749878,-0.1268237272845667,0
1777277225.0438192,1.278428554534912,-1.7297097645201625,-0.7666649222373962,-1.6917559109129847,1.581768274307251,-0.12681228319276983,0
1777277225.053816,1.2784215211868286,-1.7297011814513148,-0.7666423916816711,-1.691810747186178,1.581780195236206,-0.12683612505067998,0
1777277225.0638611,1.2784849405288696,-1.7296892605223597,-0.7666338682174683,-1.691918512383932,1.5818028450012207,-0.12689620653261358,0
1777277225.0738468,1.2785422801971436,-1.7297002277769984,-0.7666782140731812,-1.692101617852682,1.5818063020706177,-0.12701970735658819,0
1777277225.0838587,1.278686285018921,-1.7296682796873988,-0.7667489051818848,-1.692305704156393,1.5818111896514893,-0.1271284262286585,0
1777277225.0938518,1.2788923978805542,-1.7295543156065882,-0.7668532133102417,-1.6926647625365199,1.581902265548706,-0.12731868425478154,0
1777277225.103883,1.2791067361831665,-1.7294498882689417,-0.7670711278915405,-1.6930748424925746,1.5819718837738037,-0.12747508684267217,0
1777277225.1139205,1.2792961597442627,-1.729335447350973,-0.7672220468521118,-1.6935297451415003,1.5820320844650269,-0.12761480013002569,0
1777277225.1239061,1.2794842720031738,-1.729262491265768,-0.7673721313476562,-1.6940051517882289,1.582153558731079,-0.12779456773866826,0
1777277225.1338773,1.2796951532363892,-1.7291275463499964,-0.7675554156303406,-1.6945873699583949,1.5822267532348633,-0.1279538313495081,0
1777277225.1439028,1.279862642288208,-1.7290355167784632,-0.7677949666976929,-1.6951223812498988,1.5823142528533936,-0.12806493440736944,0
1777277225.1539083,1.2800031900405884,-1.7289239368834437,-0.7680490612983704,-1.6956731281676234,1.5823971033096313,-0.12811786333192998,0
1777277225.163902,1.2800723314285278,-1.7288958034911097,-0.7682695984840393,-1.6962348423399867,1.582413673400879,-0.12810212770570928,0
1777277225.17392,1.2801634073257446,-1.7288323841490687,-0.7684697508811951,-1.6966992817320765,1.582418441772461,-0.1281216780291956,0
1777277225.1839368,1.280203104019165,-1.7287966213622035,-0.7686938047409058,-1.6971460781493128,1.582450032234192,-0.12806636491884404,0
1777277225.1939285,1.2801995277404785,-1.7288242779173792,-0.7689406871795654,-1.697522302667135,1.58242666721344,-0.12803393999208623,0
1777277225.2039828,1.2802186012268066,-1.7288361988463343,-0.7691047787666321,-1.6978298626341761,1.5824536085128784,-0.12798625627626592,0
1777277225.214065,1.28019118309021,-1.7288404903807582,-0.7692341804504395,-1.6981445751585902,1.5824065208435059,-0.1279223600970667,0
1777277225.2239792,1.2801947593688965,-1.728891988793844,-0.769349217414856,-1.6983005009093226,1.5823816061019897,-0.12788230577577764,0
1777277225.233978,1.280151605606079,-1.728860994378561,-0.7693456411361694,-1.6984521351256312,1.5822904109954834,-0.1278303305255335,0
1777277225.244135,1.2801154851913452,-1.7288881740965785,-0.7692750692367554,-1.6984998188414515,1.5821945667266846,-0.12778216997255498,0
1777277225.2541258,1.2800676822662354,-1.728891988793844,-0.7692497968673706,-1.698465486566061,1.5821106433868408,-0.12776214281191045,0
1777277225.264118,1.2800511121749878,-1.728872915307516,-0.7691179513931274,-1.698484560052389,1.5820200443267822,-0.1276796499835413,0
1777277225.2741497,1.2799789905548096,-1.7289039097227992,-0.7689932584762573,-1.698463579217428,1.5819551944732666,-0.1276186148272913,0
1777277225.2841444,1.2798640727996826,-1.728891988793844,-0.7688532471656799,-1.6984216175475062,1.5818641185760498,-0.12752277055849248,0
1777277225.2941957,1.2797632217407227,-1.728891988793844,-0.7687177658081055,-1.6983777485289515,1.581812858581543,-0.12740737596620733,0
1777277225.304185,1.2796003818511963,-1.7288881740965785,-0.7685908079147339,-1.6984125576415003,1.5817729234695435,-0.12729245821108037,0
1777277225.3142438,1.2794615030288696,-1.728880067864889,-0.7684721350669861,-1.6984087429442347,1.5818272829055786,-0.127207104359762,0
1777277225.32424,1.2793477773666382,-1.728880067864889,-0.7684576511383057,-1.6984011135497035,1.5817992687225342,-0.1271594206439417,0
1777277225.3342347,1.2791848182678223,-1.7288490734496058,-0.7683990001678467,-1.6984011135497035,1.581768274307251,-0.12715465227235967,0
1777277225.3442388,1.2790493965148926,-1.728868146935934,-0.7684146761894226,-1.6984440288939417,1.581768274307251,-0.12713939348329717,0
1777277225.3542595,1.278889775276184,-1.7288562260069789,-0.7683954238891602,-1.6984640560545863,1.5817718505859375,-0.12716657320131475,0
1777277225.3642478,1.2787976264953613,-1.728868146935934,-0.7684421539306641,-1.6984926662840785,1.5817992687225342,-0.12720281282533819,0
1777277225.374272,1.2786585092544556,-1.7288180790343226,-0.7685057520866394,-1.6985842190184535,1.581761121749878,-0.12727100053896123,0
1777277225.384278,1.278542160987854,-1.728860994378561,-0.7685823440551758,-1.6987153492369593,1.581780195236206,-0.1273749510394495,0
1777277225.3942835,1.2784535884857178,-1.728872915307516,-0.7686817646026611,-1.6988359890379847,1.5818076133728027,-0.12744313875307256,0
1777277225.40435,1.2782704830169678,-1.7288762531676234,-0.7687513828277588,-1.6989675960936488,1.581756353378296,-0.12751895586122686,0
1777277225.4143271,1.2781147956848145,-1.7289039097227992,-0.7689214944839478,-1.6991025410094203,1.5817956924438477,-0.12765056291689092,0
1777277225.424433,1.277958869934082,-1.728931566277975,-0.7690304517745972,-1.6992269955077113,1.5817837715148926,-0.12768680254091436,0
1777277225.4343646,1.277732491493225,-1.7289592228331507,-0.7692041397094727,-1.6993986568846644,1.5818064212799072,-0.1277106443988245,0
1777277225.444396,1.2775874137878418,-1.728987833062643,-0.769262969493866,-1.6995417080321253,1.5817956924438477,-0.12768298784364873,0
1777277225.4544148,1.2773250341415405,-1.7290078602232875,-0.7694127559661865,-1.6996737919249476,1.5818076133728027,-0.12767059007753545,0
1777277225.4644194,1.2771799564361572,-1.7290197811522425,-0.7694655656814575,-1.6998135052123011,1.5818272829055786,-0.12765056291689092,0
