recv_timestamp,chunk_id,step_in_chunk,total_steps,raw_q1,raw_q2,raw_q3,raw_q4,raw_q5,raw_q6,raw_gripper
1777277225.0326915,1,0,16,1.2813587538908364,-1.7283151415695972,-0.7693688499005242,-1.699548890197433,1.5830728823590412,-0.12928539913684323,0.003079099528133869
1777277225.0326915,1,1,16,1.2799594241876844,-1.7287399409555884,-0.7705899522038819,-1.699818933236894,1.5822492731249989,-0.12701068697547713,0.004864260949194432
1777277225.0326915,1,2,16,1.2796369536903507,-1.7290241251033245,-0.7680337550916776,-1.6977339533101539,1.580820141375576,-0.12731238916806664,0.002245187912911177
1777277225.0326915,1,3,16,1.277877981949171,-1.728797938765733,-0.7679895962890182,-1.698400610962167,1.581996617629565,-0.12638812573934421,0.0027544082475006583
1777277225.0326915,1,4,16,1.277488451761477,-1.7288822635182515,-0.7694883116155171,-1.7000003660251057,1.581788934053756,-0.12906586016811683,0.0028876279149055483
1777277225.0326915,1,5,16,1.2752767943022985,-1.7294696684808746,-0.7701908518325984,-1.7008457666925263,1.5822562085535674,-0.12687841001223654,0.0016952955036163332
1777277225.0326915,1,6,16,1.2751708570517246,-1.728249904703962,-0.7678299763968361,-1.7006052096530513,1.5821850662277033,-0.12698402763156413,0.0014148220683038236
1777277225.0326915,1,7,16,1.2745838222965313,-1.72944484398398,-0.7701409706162914,-1.702142338685038,1.5815032810895857,-0.1258848031534453,0.0017414501143991948
1777277225.0326915,1,8,16,1.2726200625968254,-1.7332060284353963,-0.7706028656152101,-1.7011418447027156,1.5817038125046834,-0.1239501068865766,-0.0003847310099601746
1777277225.0326915,1,9,16,1.2698319017721822,-1.743906974408609,-0.7697335145082661,-1.6965005656033267,1.5810471412036093,-0.12627638958206944,0.00032132428836822513
1777277225.0326915,1,10,16,1.2599040164485793,-1.7774030402650276,-0.7691843653614321,-1.6702271186035078,1.5843293056821945,-0.12505173507603184,-0.00011835126793384553
1777277225.0326915,1,11,16,1.2437992906046764,-1.817249055353204,-0.767048385846095,-1.6214975197174115,1.5963736255947412,-0.13181665285356903,-0.00023288859772682192
1777277225.0326915,1,12,16,1.22231414008367,-1.861411049959224,-0.7705090788003874,-1.5656664131237772,1.6196566720451595,-0.15725942747141874,-0.0018218109828829767
1777277225.0326915,1,13,16,1.20192576326557,-1.9022839865324128,-0.7738546145101297,-1.519401559634124,1.643439150627073,-0.2108546513607703,-0.0008876941022872925
1777277225.0326915,1,14,16,1.181649688463176,-1.9429630222725682,-0.771896941352779,-1.4841601563527649,1.658914773823948,-0.27623618242931036,-0.0015787916119694712
1777277225.0326915,1,15,16,1.1665490535309528,-1.9692369863698151,-0.7690766523187065,-1.467734119840617,1.6632638022753166,-0.3281300157309009,-8.122496384382248e-05
1777277226.592573,2,0,16,1.1530255696860328,-2.0117846045006256,-0.7531007352342844,-1.4470378719872077,1.6795966751891969,-0.37362530022254914,-5.863929891586304e-05
1777277226.592573,2,1,16,1.1532449572346817,-2.0272113219961256,-0.7346342531900274,-1.458283456828789,1.6808689199587723,-0.3755015061802316,-0.000577156107723713
1777277226.592573,2,2,16,1.1525250498053403,-2.0617466362197834,-0.6990279775327893,-1.4741510863566873,1.6823638299135257,-0.37681921345088365,0.000768955481261015
1777277226.592573,2,3,16,1.150691538134367,-2.1011225566054206,-0.6614765370028989,-1.4856785390879828,1.6858234980170392,-0.37548854070696247,-0.00018855156683921816
